diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
02-04-2020,Maharashtra,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,29.0,29.0,31.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,41.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,8.0,1.0
02-04-2020,Maharashtra,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,29.0,29.0,31.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,41.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,8.0,1.0
02-04-2020,Maharashtra,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,29.0,29.0,31.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,41.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,8.0,1.0
05-04-2020,Maharashtra,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
05-04-2020,Maharashtra,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
05-04-2020,Maharashtra,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
05-04-2020,Maharashtra,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,31.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
06-04-2020,Maharashtra,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,14.0,7.0,1.0
06-04-2020,Maharashtra,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,33.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,14.0,7.0,1.0
07-04-2020,Maharashtra,33.0,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,16.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,9.0,12.0,1.0
07-04-2020,Maharashtra,33.0,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,16.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,9.0,12.0,1.0
07-04-2020,Maharashtra,33.0,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,33.0,16.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,9.0,12.0,1.0
08-04-2020,Maharashtra,33.0,33.0,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,24.0,16.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,38.0,8.0,1.0
08-04-2020,Maharashtra,33.0,33.0,34.0,36.0,35.0,34.0,33.0,31.0,32.0,32.0,31.0,30.0,29.0,29.0,32.0,24.0,16.0,13.0,12.0,12.0,14.0,18.0,26.0,19.0,16.0,18.0,28.0,43.0,40.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,38.0,8.0,1.0
04-04-2020,Maharashtra,32.0,32.0,32.0,33.0,33.0,31.0,32.0,31.0,33.0,30.0,32.0,32.0,30.0,32.0,28.0,29.0,17.0,15.0,17.0,25.0,33.0,30.0,37.0,37.0,40.0,29.0,22.0,18.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,2.0,6.0,1.0
15-03-2020,Maharashtra,28.0,26.0,25.0,24.0,26.0,27.0,29.0,25.0,24.0,23.0,26.0,26.0,27.0,26.0,26.0,16.0,16.0,29.0,39.0,47.0,47.0,34.0,30.0,46.0,47.0,29.0,29.0,23.0,35.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0
02-04-2020,Maharashtra,31.0,32.0,31.0,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,28.0,29.0,30.0,19.0,17.0,29.0,33.0,33.0,41.0,43.0,44.0,36.0,26.0,26.0,26.0,22.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,8.0,1.0
02-04-2020,Maharashtra,31.0,32.0,31.0,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,28.0,29.0,30.0,19.0,17.0,29.0,33.0,33.0,41.0,43.0,44.0,36.0,26.0,26.0,26.0,22.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,8.0,1.0
05-04-2020,Maharashtra,32.0,32.0,32.0,31.0,32.0,31.0,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,16.0,19.0,17.0,19.0,17.0,29.0,33.0,33.0,41.0,43.0,44.0,36.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
05-04-2020,Maharashtra,32.0,32.0,32.0,31.0,32.0,31.0,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,16.0,19.0,17.0,19.0,17.0,29.0,33.0,33.0,41.0,43.0,44.0,36.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,4.0,13.0,1.0
