diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
16-03-2020,Jammu and Kashmir,19.0,17.0,17.0,16.0,14.0,18.0,17.0,17.0,16.0,13.0,14.0,14.0,19.0,21.0,21.0,60.0,66.0,61.0,67.0,77.0,62.0,56.0,55.0,67.0,81.0,80.0,77.0,53.0,50.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-03-2020,Jammu and Kashmir,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,17.0,17.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,66.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,17.0,17.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,66.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,17.0,17.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,66.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,23.0,21.0,20.0,19.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,55.0,55.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
03-04-2020,Jammu and Kashmir,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,23.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
08-04-2020,Jammu and Kashmir,25.0,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,46.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,25.0,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,46.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,25.0,24.0,26.0,25.0,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,46.0,52.0,39.0,43.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
07-04-2020,Jammu and Kashmir,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,26.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
08-04-2020,Jammu and Kashmir,27.0,28.0,29.0,29.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,26.0,22.0,25.0,26.0,20.0,14.0,21.0,23.0,26.0,16.0,15.0,36.0,40.0,37.0,30.0,33.0,59.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0
26-03-2020,Jammu and Kashmir,23.0,24.0,22.0,23.0,24.0,23.0,23.0,24.0,23.0,23.0,22.0,20.0,18.0,16.0,17.0,48.0,55.0,63.0,45.0,52.0,58.0,51.0,52.0,48.0,46.0,52.0,55.0,61.0,71.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
27-03-2020,Jammu and Kashmir,17.0,23.0,24.0,22.0,23.0,24.0,23.0,23.0,24.0,23.0,23.0,22.0,20.0,18.0,16.0,87.0,48.0,55.0,63.0,45.0,52.0,58.0,51.0,52.0,48.0,46.0,52.0,55.0,61.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
27-03-2020,Jammu and Kashmir,17.0,23.0,24.0,22.0,23.0,24.0,23.0,23.0,24.0,23.0,23.0,22.0,20.0,18.0,16.0,87.0,48.0,55.0,63.0,45.0,52.0,58.0,51.0,52.0,48.0,46.0,52.0,55.0,61.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,9.0,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,56.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,9.0,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,56.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
18-03-2020,Jammu and Kashmir,13.0,12.0,10.0,11.0,9.0,5.0,6.0,10.0,10.0,8.0,4.0,5.0,5.0,5.0,10.0,46.0,41.0,37.0,44.0,62.0,81.0,85.0,43.0,43.0,55.0,80.0,86.0,86.0,71.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03-2020,Jammu and Kashmir,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,6.0,10.0,10.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,85.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
26-03-2020,Jammu and Kashmir,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,6.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
26-03-2020,Jammu and Kashmir,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,6.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
27-03-2020,Jammu and Kashmir,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
27-03-2020,Jammu and Kashmir,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
27-03-2020,Jammu and Kashmir,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
27-03-2020,Jammu and Kashmir,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,5.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
28-03-2020,Jammu and Kashmir,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,9.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
29-03-2020,Jammu and Kashmir,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
29-03-2020,Jammu and Kashmir,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,11.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,9.0,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,56.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
30-03-2020,Jammu and Kashmir,9.0,10.0,7.0,6.0,13.0,12.0,11.0,12.0,12.0,7.0,12.0,12.0,13.0,12.0,10.0,56.0,56.0,83.0,81.0,48.0,62.0,64.0,44.0,58.0,72.0,48.0,44.0,46.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
04-04-2020,Jammu and Kashmir,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0
04-04-2020,Jammu and Kashmir,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0
04-04-2020,Jammu and Kashmir,27.0,22.0,22.0,22.0,18.0,22.0,22.0,19.0,14.0,23.0,24.0,22.0,23.0,22.0,22.0,45.0,44.0,49.0,59.0,61.0,48.0,53.0,72.0,87.0,41.0,56.0,57.0,46.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0
