diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,32.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
27-03-2020,Kerala,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0
27-03-2020,Kerala,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,68.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
29-03-2020,Kerala,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
31-03-2020,Kerala,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0
01-04-2020,Kerala,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
01-04-2020,Kerala,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
02-04-2020,Kerala,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0
03-04-2020,Kerala,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,33.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,1.0
04-04-2020,Kerala,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,1.0
05-04-2020,Kerala,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,72.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0
07-04-2020,Kerala,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,1.0
07-04-2020,Kerala,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,1.0
07-04-2020,Kerala,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,1.0
08-04-2020,Kerala,34.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,73.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
08-04-2020,Kerala,34.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,73.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
08-04-2020,Kerala,34.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,73.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
08-04-2020,Kerala,34.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,33.0,73.0,70.0,74.0,73.0,74.0,74.0,75.0,74.0,75.0,74.0,75.0,75.0,72.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
03-02-2020,Kerala,28.0,28.0,26.0,26.0,28.0,28.0,28.0,29.0,28.0,28.0,30.0,30.0,29.0,30.0,30.0,77.0,77.0,78.0,80.0,80.0,79.0,74.0,75.0,73.0,64.0,69.0,69.0,64.0,72.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-03-2020,Kerala,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0,31.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,76.0,74.0,76.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
19-03-2020,Kerala,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
20-03-2020,Kerala,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21-03-2020,Kerala,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
22-03-2020,Kerala,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
22-03-2020,Kerala,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
22-03-2020,Kerala,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
22-03-2020,Kerala,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
22-03-2020,Kerala,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
23-03-2020,Kerala,31.0,30.0,30.0,31.0,31.0,32.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,75.0,72.0,67.0,72.0,75.0,72.0,69.0,72.0,68.0,68.0,76.0,75.0,75.0,74.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
